,Black,Black,Black,Black,White,White,White,White
,Violent,Drug,Property,Other,Violent,Drug,Property,Other
0-2,193,157,143,168,113,316,183,172
3-4,291,178,236,215,127,202,280,181
5-6,634,270,320,425,274,242,316,384
7-10,1479,570,387,585,524,284,401,583
11-16,1322,424,230,353,340,115,149,319
17-20,1094,225,64,180,375,53,43,204
21-30,1443,146,49,125,544,30,27,185
31-50,1424,70,12,48,483,11,14,75
50+,741,25,2,23,181,4,3,31
death,43,0,0,0,19,0,0,0
life,3135,48,27,23,1143,6,12,8
